Problem No,Problem Category,Problem Name,Tags,Difficulty,Total solve
1781,H1,Window Signals (easy version),[],3200,95
1781,G,Diverse Coloring,"['constructive algorithms', 'trees']",3200,179
1781,F,Bracket Insertion,"['combinatorics', 'dp', 'math', 'trees']",2700,593
1781,E,Rectangle Shrinking,"['binary search', 'brute force', 'data structures', 'greedy', 'implementation', 'two pointers']",2300,1177
1781,D,Many Perfect Squares,"['brute force', 'math', 'number theory']",1800,4475
1781,C,Equal Frequencies,"['brute force', 'constructive algorithms', 'greedy', 'implementation', 'sortings', 'strings']",1600,5885
1781,B,Going to the Cinema,"['brute force', 'greedy', 'sortings']",1000,12024
1781,A,Parallel Projection,"['geometry', 'math']",800,14137
1780,G,Delicious Dessert,"['binary search', 'dsu', 'hashing', 'math', 'number theory', 'string suffix structures']",2400,469
1780,F,Three Chairs,"['bitmasks', 'brute force', 'combinatorics', 'data structures', 'dp', 'number theory', 'sortings']",2300,1101
1780,E,Josuke and Complete Graph,"['binary search', 'brute force', 'data structures', 'math', 'number theory']",2400,1075
1780,D,Bit Guessing Game,"['binary search', 'bitmasks', 'constructive algorithms', 'interactive']",1800,3875
1780,B,GCD Partition,"['brute force', 'greedy', 'math', 'number theory']",1100,14032
1780,A,Hayato and School,"['constructive algorithms', 'greedy']",800,19573
1779,H,Olympic Team Building,"['brute force', 'meet-in-the-middle']",3500,115
1779,G,The Game of the Century,"['constructive algorithms', 'graphs', 'shortest paths']",3000,257
1779,F,Xorcerer's Stones,"['bitmasks', 'constructive algorithms', 'dp', 'trees']",2500,1071
1779,E,Anya's Simultaneous Exhibition,"['constructive algorithms', 'graphs', 'greedy', 'interactive', 'sortings']",2400,1471
1779,D,Boris and His Amazing Haircut,"['constructive algorithms', 'data structures', 'dp', 'dsu', 'greedy', 'sortings']",1700,6324
1779,C,Least Prefix Sum,"['data structures', 'greedy']",1600,9992
1779,B,MKnez's ConstructiveForces Task,"['constructive algorithms', 'math']",900,20748
1779,A,Hall of Fame,"['constructive algorithms', 'greedy', 'strings']",800,21702
1778,F,Maximizing Root,"['dfs and similar', 'dp', 'graphs', 'math', 'number theory', 'trees']",2600,436
1778,E,The Tree Has Fallen!,"['bitmasks', 'dfs and similar', 'math', 'trees']",2500,682
1778,D,Flexible String Revisit,"['combinatorics', 'dp', 'math', 'probabilities']",2100,2105
1778,C,Flexible String,"['bitmasks', 'brute force', 'strings']",1600,6388
1778,B,The Forbidden Permutation,"['greedy', 'math']",1300,11350
1778,A,Flip Flop Sum,"['greedy', 'implementation']",800,21594
1777,F,Comfortably Numb,"['bitmasks', 'data structures', 'divide and conquer', 'strings', 'trees']",2400,610
1777,E,Edge Reverse,"['binary search', 'dfs and similar', 'graphs', 'trees']",2200,1307
1777,D,Score of a Tree,"['bitmasks', 'combinatorics', 'dfs and similar', 'dp', 'math', 'probabilities', 'trees']",1900,2558
1777,C,Quiz Master,"['binary search', 'math', 'number theory', 'sortings', 'two pointers']",1700,6088
1777,B,Emordnilap,"['combinatorics', 'greedy', 'math']",900,14892
1777,A,Everybody Likes Good Arrays!,"['greedy', 'math']",800,18112
1776,N,Count Permutations,['math'],3500,29
1776,M,Parmigiana With Seafood,"['binary search', 'dp', 'greedy', 'trees']",3000,222
1776,L,Controllers,"['binary search', 'math']",1500,3648
1776,K,Uniform Chemistry,"['dp', 'math']",3200,46
1776,J,Italian Data Centers,"['graphs', 'shortest paths']",2500,471
1776,I,Spinach Pizza,"['games', 'geometry', 'greedy', 'interactive']",2500,466
1776,H,Beppa and SwerChat,['two pointers'],1300,4540
1776,G,Another Wine Tasting Event,"['combinatorics', 'constructive algorithms', 'math', 'strings']",2100,1523
1776,F,Train Splitting,"['constructive algorithms', 'graphs', 'greedy']",1700,2386
1776,E,Crossing the Railways,"['data structures', 'dp']",3500,40
1776,D,Teamwork,"['constructive algorithms', 'greedy', 'math']",2800,266
1776,C,Library game,"['games', 'greedy', 'interactive', 'sortings']",2500,485
1776,B,Vittorio Plays with LEGO Bricks,"['dp', 'geometry']",2200,987
1776,A,Walking Boy,['greedy'],800,5707
1775,F,Laboratory on Pluto,"['constructive algorithms', 'dp', 'greedy', 'math']",2500,632
1775,E,The Human Equation,"['greedy', 'implementation']",2100,2552
1775,D,Friendly Spiders,"['dfs and similar', 'graphs', 'math', 'number theory', 'shortest paths']",1800,4581
1775,C,Interesting Sequence,"['bitmasks', 'math']",1600,7766
1775,B,Gardener and the Array,"['bitmasks', 'constructive algorithms']",1300,10456
1775,A2,Gardener and the Capybaras (hard version),"['constructive algorithms', 'greedy']",900,16954
1775,A1,Gardener and the Capybaras (easy version),"['brute force', 'constructive algorithms', 'implementation']",800,18227
1774,H,Maximum Permutation,['constructive algorithms'],3500,112
1774,G,Segment Covering,"['brute force', 'combinatorics', 'constructive algorithms', 'data structures', 'dp', 'trees']",3200,252
1774,F2,Magician and Pigs (Hard Version),"['binary search', 'brute force', 'data structures', 'implementation']",2700,510
1774,F1,Magician and Pigs (Easy Version),"['brute force', 'data structures', 'implementation']",2400,896
1774,E,Two Chess Pieces,"['dfs and similar', 'dp', 'greedy', 'trees']",1900,2817
1774,D,Same Count One,"['brute force', 'constructive algorithms', 'greedy', 'implementation', 'two pointers']",1600,6211
1774,C,Ice and Fire,"['constructive algorithms', 'dp', 'greedy']",1300,10129
1774,B,Coloring,"['constructive algorithms', 'greedy', 'math']",1500,9598
1774,A,Add Plus Minus Sign,"['constructive algorithms', 'math']",800,20683
1773,L,Lisa's Sequences,['dp'],3500,20
1773,K,King's Puzzle,['constructive algorithms'],1900,1117
1773,J,Jumbled Trees,"['constructive algorithms', 'math']",2900,75
1773,I,Interactive Factorial Guessing,"['brute force', 'games', 'implementation', 'interactive']",2500,377
1773,H,Hot and Cold,"['binary search', 'interactive']",2600,251
1773,G,Game of Questions,"['bitmasks', 'combinatorics', 'dp', 'fft', 'math', 'probabilities']",2800,216
1773,F,Football,['constructive algorithms'],800,3356
1773,E,Easy Assembly,"['greedy', 'sortings']",1400,3517
1773,D,Dominoes,"['combinatorics', 'flows', 'graph matchings', 'greedy']",2600,302
1773,C,Cactus Meets Torus,[],3500,22
1773,B,BinCoin,"['binary search', 'divide and conquer', 'hashing', 'implementation', 'probabilities', 'trees']",2200,586
1773,A,Amazing Trick,"['constructive algorithms', 'graph matchings', 'math', 'probabilities']",1900,1169
1772,G,Gaining Rating,"['binary search', 'greedy', 'implementation', 'math', 'sortings', 'two pointers']",2200,1056
1772,F,Copy of a Copy of a Copy,"['constructive algorithms', 'dfs and similar', 'graphs', 'implementation', 'sortings']",2000,1794
1772,E,Permutation Game,['games'],1700,5231
1772,D,Absolute Sorting,"['constructive algorithms', 'math']",1400,11291
1772,C,Different Differences,"['constructive algorithms', 'greedy', 'math']",1000,19414
1772,B,Matrix Rotation,"['brute force', 'implementation']",800,25060
1772,A,A+B?,['implementation'],800,34157
1771,F,Hossam and Range Minimum Query,"['binary search', 'bitmasks', 'data structures', 'hashing', 'probabilities', 'strings', 'trees']",2500,682
1771,E,Hossam and a Letter,"['brute force', 'dp', 'implementation', 'two pointers']",2500,573
1771,D,Hossam and (sub-)palindromic tree,"['brute force', 'data structures', 'dfs and similar', 'dp', 'strings', 'trees']",2100,2152
1771,C,Hossam and Trainees,"['greedy', 'math', 'number theory']",1600,7065
1771,B,Hossam and Friends,"['binary search', 'constructive algorithms', 'dp', 'two pointers']",1400,10244
1771,A,Hossam and Combinatorics,"['combinatorics', 'math', 'sortings']",900,19237
1770,H,"Koxia, Mahiru and Winter Festival",['constructive algorithms'],3500,67
1770,G,Koxia and Bracket,"['divide and conquer', 'fft', 'math']",3400,123
1770,F,Koxia and Sequence,"['bitmasks', 'combinatorics', 'dp', 'math', 'number theory']",3100,416
1770,E,Koxia and Tree,"['combinatorics', 'dfs and similar', 'dp', 'dsu', 'math', 'probabilities', 'trees']",2400,1142
1770,D,Koxia and Game,"['constructive algorithms', 'data structures', 'dfs and similar', 'dsu', 'flows', 'games', 'graph matchings', 'graphs', 'implementation']",2000,3243
1770,C,Koxia and Number Theory,"['brute force', 'chinese remainder theorem', 'math', 'number theory']",1700,7350
1770,B,Koxia and Permutation,['constructive algorithms'],1000,17407
1770,A,Koxia and Whiteboards,"['brute force', 'greedy']",1000,20198
1769,D3,Игра в Девятку III,"['*special problem', 'brute force']",2300,110
1769,D2,Игра в Девятку II,"['*special problem', 'brute force']",2200,180
1769,D1,Игра в Девятку I,"['*special problem', 'brute force', 'dp']",1800,332
1769,C2,Подкрутка II,"['*special problem', 'dp']",1300,762
1769,C1,Подкрутка I,"['*special problem', 'brute force', 'dp', 'greedy']",1200,794
1769,B2,Копирование файлов II,"['*special problem', 'binary search', 'brute force', 'math']",1400,782
1769,B1,Копирование файлов I,"['*special problem', 'brute force', 'implementation', 'math']",1000,1178
1769,A,Узкая дорога,"['*special problem', 'math']",800,1702
1768,F,Wonderful Jump,"['dp', 'greedy']",2900,559
1768,E,Partial Sorting,"['combinatorics', 'math', 'number theory']",2300,1532
1768,D,Lucky Permutation,"['constructive algorithms', 'dfs and similar', 'graphs', 'greedy']",1800,5583
1768,C,Elemental Decompress,"['constructive algorithms', 'greedy', 'implementation', 'sortings']",1300,11733
1768,B,Quick Sort,"['greedy', 'math']",900,19615
1768,A,Greatest Convex,"['greedy', 'math', 'number theory']",800,25122
1767,F,Two Subtrees,"['data structures', 'trees']",3100,116
1767,E,Algebra Flash,"['bitmasks', 'brute force', 'dp', 'graphs', 'math', 'meet-in-the-middle', 'trees']",2500,629
1767,D,Playoff,"['combinatorics', 'constructive algorithms', 'dp', 'greedy', 'math']",1500,8028
1767,C,Count Binary Strings,"['data structures', 'dp']",2100,2095
1767,B,Block Towers,"['data structures', 'greedy', 'sortings']",800,18040
1767,A,Cut the Triangle,['implementation'],800,18900
1766,F,MCF,['flows'],2800,193
1766,E,Decomposition,"['binary search', 'brute force', 'data structures', 'divide and conquer', 'dp', 'two pointers']",2300,996
1766,D,Lucky Chains,"['math', 'number theory']",1600,6563
1766,C,Hamiltonian Wall,"['dp', 'implementation']",1300,11201
1766,B,Notepad#,['implementation'],1000,17295
1766,A,Extremely Round,"['brute force', 'implementation']",800,20305
1765,N,Number Reduction,['greedy'],1500,3325
1765,M,Minimum LCM,"['math', 'number theory']",1000,9116
1765,L,Project Manager,"['brute force', 'data structures', 'implementation']",2400,464
1765,K,Torus Path,"['greedy', 'math']",1500,4231
1765,J,Hero to Zero,"['graph matchings', 'math']",2900,125
1765,I,Infinite Chess,"['implementation', 'shortest paths']",2800,132
1765,H,Hospital Queue,"['binary search', 'graphs', 'greedy', 'implementation']",2200,925
1765,G,Guess the String,"['constructive algorithms', 'interactive', 'probabilities']",2600,282
1765,F,Chemistry Lab,"['dp', 'geometry', 'probabilities']",2200,474
1765,E,Exchange,"['brute force', 'math']",1000,7954
1765,D,Watch the Videos,"['binary search', 'constructive algorithms', 'two pointers']",1700,3052
1765,C,Card Guessing,"['combinatorics', 'dp', 'probabilities']",2600,245
1765,B,Broken Keyboard,['greedy'],800,7832
1765,A,Access Levels,"['bitmasks', 'dsu', 'flows', 'graph matchings']",2400,549
1764,H,Doremy's Paint 2,['data structures'],3400,121
1764,G3,Doremy's Perfect DS Class (Hard Version),"['binary search', 'interactive']",3300,276
1764,G2,Doremy's Perfect DS Class (Medium Version),"['binary search', 'interactive']",3000,326
1764,G1,Doremy's Perfect DS Class (Easy Version),"['binary search', 'interactive']",2900,375
1764,F,Doremy's Experimental Tree,"['brute force', 'constructive algorithms', 'dfs and similar', 'dsu', 'sortings', 'trees']",2500,781
1764,E,Doremy's Number Line,"['dp', 'greedy', 'sortings']",2400,1038
1764,D,Doremy's Pegging Game,"['combinatorics', 'dp', 'math']",2000,2289
1764,C,Doremy's City Construction,"['graphs', 'greedy']",1400,7689
1764,B,Doremy's Perfect Math Class,"['math', 'number theory']",900,13412
1764,A,Doremy's Paint,['greedy'],800,15063
1763,F,Edge Queries,"['data structures', 'dfs and similar', 'dp', 'dsu', 'graphs', 'trees']",3000,295
1763,E,Node Pairs,"['dp', 'graphs', 'math', 'number theory']",2200,1405
1763,D,Valid Bitonic Permutations,"['combinatorics', 'dp', 'implementation', 'math', 'number theory']",2200,1711
1763,C,Another Array Problem,"['brute force', 'constructive algorithms', 'greedy']",2000,5436
1763,B,Incinerate,"['binary search', 'brute force', 'data structures', 'implementation', 'math', 'sortings']",1200,11819
1763,A,Absolute Maximization,"['bitmasks', 'constructive algorithms', 'greedy', 'math']",800,14092
1762,G,Unequal Adjacent Elements,"['constructive algorithms', 'sortings']",3100,71
1762,F,Good Pairs,"['binary search', 'data structures', 'dp']",2600,351
1762,E,Tree Sum,"['combinatorics', 'math', 'trees']",2600,454
1762,D,GCD Queries,"['constructive algorithms', 'interactive', 'number theory']",2100,2736
1762,C,Binary Strings are Fun,"['combinatorics', 'math']",1400,7642
1762,B,Make Array Good,"['constructive algorithms', 'implementation', 'number theory', 'sortings']",1100,14361
1762,A,Divide and Conquer,"['greedy', 'math', 'number theory']",800,17218
1761,G,Centroid Guess,"['interactive', 'probabilities', 'trees']",3500,83
1761,F2,Anti-median (Hard Version),"['combinatorics', 'dp', 'math']",3500,62
1761,F1,Anti-median (Easy Version),"['dp', 'math']",3100,156
1761,E,Make It Connected,"['binary search', 'brute force', 'constructive algorithms', 'dsu', 'graphs', 'greedy', 'matrices', 'trees', 'two pointers']",2400,1429
1761,D,Carry Bit,"['combinatorics', 'math']",2100,1997
1761,C,Set Construction,"['constructive algorithms', 'dfs and similar', 'graphs', 'greedy']",1400,7771
1761,B,Elimination of a Ring,"['constructive algorithms', 'greedy', 'implementation']",1000,11615
1761,A,Two Permutations,"['brute force', 'constructive algorithms']",800,14174
1760,G,SlavicG's Favorite Problem,"['bitmasks', 'dfs and similar', 'graphs']",1700,5427
1760,F,Quests,"['binary search', 'greedy', 'sortings']",1500,8741
1760,E,Binary Inversions,"['data structures', 'greedy', 'math']",1100,15909
1760,D,Challenging Valleys,"['implementation', 'two pointers']",1000,18642
1760,C,Advantage,"['data structures', 'implementation', 'sortings']",800,29236
1760,B,Atilla's Favorite Problem,"['greedy', 'implementation', 'strings']",800,34183
1760,A,Medium Number,"['implementation', 'sortings']",800,39939
1759,G,Restore the Permutation,"['binary search', 'constructive algorithms', 'data structures', 'greedy', 'math']",1900,3519
1759,F,All Possible Digits,"['binary search', 'data structures', 'greedy', 'math', 'number theory']",1800,3009
1759,E,The Humanoid,"['brute force', 'dp', 'sortings']",1500,7891
1759,D,Make It Round,"['brute force', 'number theory']",1400,9524
1759,C,Thermostat,"['greedy', 'math', 'shortest paths']",1100,14748
1759,B,Lost Permutation,['math'],800,19466
1759,A,Yes-Yes?,"['implementation', 'strings']",800,24989
1758,F,Decent Division,"['constructive algorithms', 'data structures']",3000,123
1758,E,"Tick, Tock","['combinatorics', 'dfs and similar', 'dsu', 'graphs']",2500,651
1758,D,Range = √Sum,"['binary search', 'brute force', 'constructive algorithms', 'math', 'two pointers']",1800,5653
1758,C,Almost All Multiples,"['greedy', 'number theory']",1400,10460
1758,B,XOR = Average,['constructive algorithms'],900,17742
1758,A,SSeeeeiinngg DDoouubbllee,"['constructive algorithms', 'strings']",800,22221
1754,B,Kevin and Permutation,"['constructive algorithms', 'greedy', 'math']",800,17575
1754,A,Technical Support,['greedy'],800,21129
1753,F,Minecraft Series,"['brute force', 'two pointers']",3500,144
1753,E,N Machines,"['binary search', 'brute force', 'greedy']",3300,263
1753,D,The Beach,"['constructive algorithms', 'dfs and similar', 'graphs', 'shortest paths']",2400,1309
1753,C,Wish I Knew How to Sort,"['dp', 'math', 'probabilities']",2000,3304
1753,B,Factorial Divisibility,"['math', 'number theory']",1600,10167
1753,A2,Make Nonzero Sum (hard version),"['constructive algorithms', 'dp', 'greedy']",1500,8509
1753,A1,Make Nonzero Sum (easy version),"['constructive algorithms', 'dp', 'greedy']",1300,12609
1750,H,BinaryStringForces,"['constructive algorithms', 'data structures', 'dp']",3500,58
1750,G,Doping,"['combinatorics', 'dp', 'math']",3300,163
1750,F,Majority,"['combinatorics', 'dp', 'math', 'strings']",2700,553
1750,E,Bracket Cost,"['binary search', 'data structures', 'divide and conquer', 'dp', 'greedy', 'strings']",2400,1164
1750,D,Count GCD,"['combinatorics', 'math', 'number theory']",1800,4648
1750,C,Complementary XOR,"['constructive algorithms', 'implementation']",1400,8232
1750,B,Maximum Substring,"['brute force', 'greedy', 'implementation']",800,15212
1750,A,Indirect Sort,"['constructive algorithms', 'implementation', 'math']",800,15847
1749,F,Distance to the Path,"['data structures', 'dfs and similar', 'trees']",2800,399
1749,E,Cactus Wall,"['constructive algorithms', 'dfs and similar', 'graphs', 'shortest paths']",2400,1303
1749,D,Counting Arrays,"['combinatorics', 'dp', 'math', 'number theory']",1900,4584
1749,C,Number Game,"['binary search', 'data structures', 'games', 'greedy', 'implementation']",1400,11439
1749,B,Death's Blessing,['greedy'],900,18576
1749,A,Cowardly Rooks,"['greedy', 'implementation']",800,20897
1748,F,Circular Xor Reversal,"['bitmasks', 'constructive algorithms']",3000,277
1748,E,Yet Another Array Counting Problem,"['binary search', 'data structures', 'divide and conquer', 'dp', 'flows', 'math', 'trees']",2300,1408
1748,D,ConstructOR,"['bitmasks', 'chinese remainder theorem', 'combinatorics', 'constructive algorithms', 'math', 'number theory']",2100,2339
1748,C,Zero-Sum Prefixes,"['brute force', 'data structures', 'dp', 'greedy', 'implementation']",1600,8617
1748,B,Diverse Substrings,"['brute force', 'implementation', 'strings']",1400,12246
1748,A,The Ultimate Square,['math'],800,21888
1747,E,List Generation,"['combinatorics', 'dp', 'math']",2900,420
1747,D,Yet Another Problem,"['binary search', 'bitmasks', 'constructive algorithms', 'data structures']",1900,3927
1747,C,Swap Game,['games'],1200,17136
1747,B,BAN BAN,['constructive algorithms'],900,19341
1747,A,Two Groups,"['constructive algorithms', 'greedy']",800,22690
1746,G,Olympiad Training,"['binary search', 'data structures', 'dp', 'flows', 'geometry', 'implementation', 'sortings']",3500,80
1746,F,Kazaee,"['data structures', 'hashing', 'probabilities']",2800,1121
1746,E2,Joking (Hard Version),"['dp', 'interactive']",3200,284
1746,E1,Joking (Easy Version),"['binary search', 'constructive algorithms', 'interactive', 'ternary search']",2500,1168
1746,D,Paths on the Tree,"['dfs and similar', 'dp', 'greedy', 'sortings', 'trees']",1900,3948
1746,C,Permutation Operations,"['constructive algorithms', 'greedy', 'implementation', 'math']",1300,10794
1746,B,Rebellion,"['constructive algorithms', 'greedy', 'two pointers']",800,15680
1746,A,Maxmina,"['constructive algorithms', 'greedy']",800,18564
1744,F,MEX vs MED,"['math', 'two pointers']",2000,2273
1744,E2,Divisible Numbers (hard version),"['brute force', 'math', 'number theory']",1900,4264
1744,E1,Divisible Numbers (easy version),"['brute force', 'math', 'number theory']",1500,8333
1744,D,Divisibility by 2^n,"['greedy', 'math', 'sortings']",1200,16420
1744,C,Traffic Light,"['binary search', 'implementation', 'two pointers']",1000,19438
1744,B,Even-Odd Increments,"['implementation', 'math']",800,20849
1744,A,Number Replacement,"['greedy', 'implementation']",800,24013
1743,G,Antifibonacci Cut,"['bitmasks', 'combinatorics', 'constructive algorithms', 'data structures', 'dp', 'hashing', 'math']",3000,203
1743,F,Intersection and Union,"['data structures', 'dp', 'matrices', 'probabilities']",2300,1234
1743,E,FTL,"['binary search', 'dp']",2400,1280
1743,D,Problem with Random Tests,"['brute force', 'dp', 'greedy', 'probabilities']",1700,6430
1743,C,Save the Magazines,"['constructive algorithms', 'dp', 'greedy']",1100,16840
1743,B,Permutation Value,"['constructive algorithms', 'greedy']",800,20673
1743,A,Password,"['brute force', 'combinatorics', 'implementation', 'math']",800,23959
1742,G,Orray,"['bitmasks', 'brute force', 'greedy', 'math', 'sortings']",1500,7634
1742,F,Smaller,"['constructive algorithms', 'greedy', 'strings']",1500,8688
1742,E,Scuza,"['binary search', 'greedy', 'math']",1200,16600
1742,D,Coprime,"['brute force', 'greedy', 'number theory']",1100,17384
1742,C,Stripes,['implementation'],900,25768
1742,B,Increasing,"['greedy', 'implementation', 'sortings']",800,36044
1742,A,Sum,['implementation'],800,46232
1741,G,Kirill and Company,"['bitmasks', 'brute force', 'dfs and similar', 'dp', 'flows', 'graphs', 'shortest paths']",2200,1164
1741,F,Multi-Colored Segments,"['binary search', 'data structures', 'math', 'sortings']",2000,1848
1741,E,Sending a Sequence Over the Network,['dp'],1600,8320
1741,D,Masha and a Beautiful Tree,"['dfs and similar', 'divide and conquer', 'graphs', 'sortings', 'trees']",1300,12070
1741,C,Minimize the Thickness,"['brute force', 'greedy', 'math', 'two pointers']",1100,15292
1741,B,Funny Permutation,"['constructive algorithms', 'math']",800,22787
1741,A,Compare T-Shirt Sizes,"['implementation', 'implementation', 'strings']",800,26843
1740,I,Arranging Crystal Balls,"['data structures', 'divide and conquer', 'divide and conquer', 'dp', 'geometry', 'graphs', 'number theory']",3500,85
1740,H,MEX Tree Manipulation,"['data structures', 'trees']",3300,139
1740,G,Dangerous Laser Power,"['constructive algorithms', 'dsu', 'sortings']",3100,151
1740,F,Conditional Mix,"['combinatorics', 'dp', 'math']",2600,616
1740,E,Hanging Hearts,"['constructive algorithms', 'data structures', 'dfs and similar', 'dp', 'greedy', 'trees']",1800,3488
1740,D,Knowledge Cards,"['constructive algorithms', 'data structures']",1500,6678
1740,C,Bricks and Bags,"['constructive algorithms', 'games', 'greedy', 'sortings']",1400,9177
1740,B,Jumbo Extra Cheese 2,"['geometry', 'greedy', 'sortings']",800,12879
1740,A,Factorise N+M,"['constructive algorithms', 'number theory']",800,17718
1739,F,Keyboard Design,"['bitmasks', 'data structures', 'dp', 'string suffix structures', 'strings']",2600,420
1739,E,Cleaning Robot,"['bitmasks', 'dp']",2400,1024
1739,D,Reset K Edges,"['binary search', 'data structures', 'dfs and similar', 'graphs', 'greedy', 'trees']",1900,4122
1739,C,Card Game,"['combinatorics', 'constructive algorithms', 'dp', 'games']",1500,7719
1739,B,Array Recovery,"['constructive algorithms', 'greedy', 'math']",1100,18636
1739,A,Immobile Knight,['implementation'],800,21192
1738,H,Palindrome Addicts,"['data structures', 'strings']",3300,191
1738,G,Anti-Increasing Addicts,"['constructive algorithms', 'dp', 'greedy', 'math']",2900,312
1738,F,Connectivity Addicts,"['constructive algorithms', 'dsu', 'graphs', 'greedy', 'interactive', 'shortest paths', 'trees']",2400,1020
1738,E,Balance Addicts,"['combinatorics', 'dp', 'math', 'two pointers']",2300,1274
1738,D,Permutation Addicts,"['constructive algorithms', 'data structures', 'dfs and similar', 'dsu', 'graphs', 'trees']",1900,3001
1738,C,Even Number Addicts,"['dp', 'games', 'greedy', 'math']",1500,9086
1738,B,Prefix Sum Addicts,"['constructive algorithms', 'greedy', 'math', 'sortings']",1200,12465
1738,A,Glory Addicts,"['greedy', 'implementation', 'sortings']",800,12858
1737,G,Ela Takes Dancing Class,"['binary search', 'data structures']",3500,86
1737,F,Ela and Prime GCD,"['constructive algorithms', 'math', 'number theory']",3300,101
1737,E,Ela Goes Hiking,"['combinatorics', 'dp', 'math', 'probabilities']",2500,796
1737,D,Ela and the Wiring Wizard,"['brute force', 'dp', 'graphs', 'greedy', 'implementation', 'shortest paths']",2200,1675
1737,C,Ela and Crickets,"['constructive algorithms', 'games', 'implementation', 'math']",1500,5009
1737,B,Ela's Fitness and the Luxury Number,"['binary search', 'implementation', 'math']",1300,8281
1737,A,Ela Sorting Books,"['greedy', 'implementation', 'strings']",900,9297
1736,E,Swap and Take,"['dp', 'greedy']",2600,492
1736,D,Equal Binary Subsequences,"['constructive algorithms', 'geometry', 'greedy', 'implementation', 'strings']",2200,2124
1736,C2,Good Subarrays (Hard Version),"['binary search', 'data structures', 'dp', 'two pointers']",2400,1066
1736,C1,Good Subarrays (Easy Version),"['binary search', 'data structures', 'schedules', 'two pointers']",1300,12531
1736,B,Playing with GCD,"['math', 'number theory']",1200,14418
1736,A,Make A Equal to B,"['brute force', 'greedy', 'sortings']",800,21039
1735,F,Pebbles and Beads,"['data structures', 'geometry']",2900,171
1735,E,House Planning,"['constructive algorithms', 'data structures', 'graph matchings', 'greedy']",2400,928
1735,D,Meta-set,"['brute force', 'combinatorics', 'data structures', 'hashing', 'math']",1700,4723
1735,C,Phase Shift,"['dfs and similar', 'dsu', 'graphs', 'greedy', 'implementation', 'strings']",1400,8543
1735,B,Tea with Tangerines,"['greedy', 'math']",900,16402
1735,A,Working Week,"['constructive algorithms', 'greedy', 'math']",800,19052
1734,F,Zeros and Ones,"['bitmasks', 'divide and conquer', 'dp', 'math']",2500,628
1734,E,Rectangular Congruence,"['constructive algorithms', 'number theory']",2100,2443
1734,D,Slime Escape,"['data structures', 'dp', 'greedy', 'two pointers']",1800,5239
1734,C,Removing Smallest Multiples,"['greedy', 'math']",1200,14259
1734,B,"Bright, Nice, Brilliant",['constructive algorithms'],800,14931
1734,A,Select Three Sticks,"['brute force', 'greedy', 'sortings']",800,19569
1733,E,Conveyor,"['constructive algorithms', 'dp', 'math']",2700,941
1733,D2,Zero-One (Hard Version),"['dp', 'greedy']",2000,3455
1733,D1,Zero-One (Easy Version),"['constructive algorithms', 'greedy', 'math']",1400,10987
1733,C,Parity Shuffle Sorting,"['constructive algorithms', 'sortings']",1300,13059
1733,B,Rule of League,"['constructive algorithms', 'math']",900,17826
1733,A,Consecutive Sum,"['greedy', 'sortings']",800,19715
1732,E,Location,"['data structures', 'dp', 'math', 'number theory']",2800,332
1732,D2,Balance (Hard version),"['brute force', 'data structures', 'number theory']",2400,1180
1732,D1,Balance (Easy version),"['brute force', 'data structures', 'implementation', 'number theory']",1500,6952
1732,C2,Sheikh (Hard Version),"['binary search', 'bitmasks', 'brute force', 'greedy', 'implementation', 'two pointers']",2100,2124
1732,C1,Sheikh (Easy version),"['binary search', 'bitmasks', 'greedy', 'two pointers']",1800,4605
1732,B,Ugu,"['brute force', 'dp', 'greedy', 'implementation']",900,12401
1732,A,Bestie,"['brute force', 'combinatorics', 'constructive algorithms', 'implementation', 'math', 'number theory']",1000,12748
1731,F,Function Sum,"['brute force', 'combinatorics', 'dp', 'fft', 'math']",2500,555
1731,E,Graph Cost,"['dp', 'greedy', 'math', 'number theory']",2000,2229
1731,D,Valiant's New Map,"['binary search', 'brute force', 'data structures', 'dp', 'two pointers']",1700,5631
1731,C,Even Subarrays,"['bitmasks', 'brute force', 'hashing', 'math', 'number theory']",1700,7569
1731,B,Kill Demodogs,"['greedy', 'math']",1100,14920
1731,A,Joey Takes Money,"['greedy', 'math']",800,21065
1730,F,Almost Sorted,"['bitmasks', 'data structures', 'dp']",2700,314
1730,E,Maximums and Minimums,"['combinatorics', 'data structures', 'divide and conquer', 'number theory']",2700,507
1730,D,Prefixes and Suffixes,"['constructive algorithms', 'strings', 'two pointers']",2200,2366
1730,C,Minimum Notation,"['data structures', 'greedy', 'math', 'sortings']",1200,14077
1730,B,Meeting on the Line,"['binary search', 'geometry', 'greedy', 'implementation', 'math', 'ternary search']",1600,10073
1730,A,Planets,"['data structures', 'greedy', 'sortings']",800,21205
1729,G,Cut Substrings,"['combinatorics', 'dp', 'hashing', 'strings', 'two pointers']",2100,1803
1729,F,Kirei and the Linear Function,"['hashing', 'math']",1900,3546
1729,E,Guess the Cycle Size,"['interactive', 'probabilities']",1800,5943
1729,D,Friends and the Restaurant,"['greedy', 'sortings', 'two pointers']",1200,15668
1729,C,Jumping on Tiles,"['constructive algorithms', 'strings']",1100,17274
1729,B,Decode String,"['greedy', 'strings']",800,26781
1729,A,Two Elevators,['math'],800,34414
1728,G,Illumination,"['binary search', 'bitmasks', 'brute force', 'combinatorics', 'dp', 'math', 'two pointers']",2700,327
1728,F,Fishermen,"['flows', 'graph matchings', 'greedy']",3100,300
